Model,Selling Price,Kilometers Driven,Year,Owner,Fuel Type,Transmission,Insurance,Car Condition
ToyotaEtios,265799,80949,2012,First Owner,Diesel,MANUAL,19-05-2021,4.4
Hyundaii20SPORTZ1.2,305999,62270,2012,First Owner,Petrol,MANUAL,Expired,3.9
HyundaiElitei20MAGNA1.4,473199,61164,2014,First Owner,Diesel,MANUAL,16-11-2021,4.2
VolkswagenPoloHIGHLINE1.2L,490199,33407,2015,First Owner,Petrol,MANUAL,25-02-2021,4.3
HyundaiEonERA,214599,43183,2014,Second Owner,Petrol,MANUAL,28-08-2021,4.1
Hyundaii20ASTA,335899,96899,2010,Second Owner,Petrol,MANUAL,27-10-2021,4
HyundaiGrandi10MAGNA1.2KAPPA,398399,48053,2017,First Owner,Petrol + CNG,MANUAL,28-11-2021,4.5
ToyotaCorollaAltis,614299,103761,2015,First Owner,Petrol,MANUAL,29-01-2022,4.2
HyundaiCreta1.6SX,897799,42785,2015,First Owner,Diesel,MH03,Comprehensive,4.7
HyundaiEonERA,242899,5013,2012,First Owner,Petrol,MANUAL,18-01-2021,4.2
Hyundaii10SPORTZ,254899,29438,2010,First Owner,Petrol,MANUAL,31-01-2021,4.2
HyundaiEonERA,228099,20229,2015,First Owner,Petrol,MANUAL,03-11-2021,4.6
VolkswagenPoloHIGHLINE1.2L,417099,45605,2012,Third Owner,Petrol,MANUAL,20-03-2021,4.1
MarutiRitz,239099,59348,2012,First Owner,Diesel,MANUAL,14-11-2021,4.5
MarutiAlto,91699,81168,2007,Second Owner,Petrol,MANUAL,04-07-2021,4
MarutiBalenoSIGMA1.2,430599,40622,2017,First Owner,Petrol,MANUAL,21-03-2021,4.5
MarutiIGNISZETA1.2K12,544199,31152,2017,First Owner,Petrol,AUTOMATIC,20-07-2021,4.9
VolkswagenPoloTrendline1.0L,633299,7951,2020,First Owner,Petrol,KA03,Comp,5
ToyotaInnovaCrysta2.4GX8,1545999,38288,2019,First Owner,Diesel,MANUAL,19-03-2021,4.7
HyundaiSantroXingXOERLXEURO,133199,49964,2007,Second Owner,Petrol,MANUAL,06-12-2020,3.9
MarutiSwiftVDI,503599,49668,2015,First Owner,Diesel,MANUAL,30-03-2021,4.5
HyundaiSantroXing,115999,73791,2008,First Owner,Petrol,MANUAL,22-08-2021,3.8
HondaJazz1.2BASEI,206641,86489,2009,First Owner,Petrol,MANUAL,04-07-2021,4.2
HyundaiSantroXingXLERLXEURO,75299,133595,2006,Second Owner,Petrol,MANUAL,Expired,3.8
MarutiCelerioZXI,544999,14067,2019,First Owner,Petrol,MANUAL,02-08-2021,4.9
MahindraXUV500W6,627399,181811,2014,First Owner,Diesel,MANUAL,25-05-2021,3.7
Hyundaii10MAGNA1.1,248399,83453,2012,First Owner,Petrol,MANUAL,16-12-2021,4
ToyotaEtiosLivaD4DGD,278699,75946,2012,First Owner,Diesel,MANUAL,29-08-2021,4.5
Hyundaii20ASTA,219399,151123,2010,First Owner,Petrol,MANUAL,05-09-2021,4.4
HondaBrio1.2EXMTI,228918,55430,2013,Second Owner,Petrol,MANUAL,30-03-2021,4.3
Hyundaii10SPORTZ,200199,155505,2009,First Owner,Petrol,MANUAL,06-11-2021,4.1
MarutiSwift,412499,42416,2014,Second Owner,Petrol,MANUAL,Expired,4.1
MarutiSwiftVDI,571713,37481,2015,First Owner,Diesel,MANUAL,01-03-2021,4.5
Hyundaii20MAGNA1.2,332428,64924,2012,First Owner,Petrol,MANUAL,23-09-2021,4.2
HondaCitySMT,264340,118873,2009,First Owner,Petrol,MANUAL,24-03-2021,3.9
FordEcosport1.5TITANIUMTIVCT,615399,39090,2014,Second Owner,Petrol,AUTOMATIC,30-09-2021,4.3
MarutiOMNIE8,336399,17953,2017,First Owner,Petrol,KA01,Comp,4.7
MarutiSwift,365244,74429,2013,Second Owner,Diesel,MANUAL,Expired,4.5
RenaultKwid,211099,22629,2016,Second Owner,Petrol,MANUAL,13-11-2021,4.7
RenaultKwid,308399,21136,2015,First Owner,Petrol,MANUAL,30-11-2021,4.6
HyundaiGrandi10SPORTS1.2,378999,47789,2015,First Owner,Petrol,MANUAL,26-06-2021,4.1
HyundaiGrandi10ASTA1.2AT,376799,32055,2015,Second Owner,Petrol,AUTOMATIC,Expired,4.5
SkodaFabiaAMBIENTE1.2,147099,102067,2010,Third Owner,Petrol,MANUAL,24-04-2021,4.2
VolkswagenPoloHIGHLINE1.2L,356499,31922,2013,Second Owner,Petrol,MANUAL,06-11-2021,4.1
MarutiSwiftZXI,700399,11903,2018,First Owner,Petrol,AUTOMATIC,29-07-2021,4.8
MarutiWagonR1.0LXI,399499,73294,2017,First Owner,Petrol + CNG,MANUAL,16-08-2021,4.3
MarutiVitaraBrezzaZDI,757899,37246,2016,First Owner,Diesel,MANUAL,16-12-2020,4.7
FordFigo1.2ZXI,126781,52991,2010,First Owner,Petrol,MANUAL,02-11-2021,4
MarutiBalenoALPHADDIS,694699,78579,2017,First Owner,Diesel,MANUAL,05-03-2021,4.4
MarutiWagonR1.0,369599,30435,2014,First Owner,Petrol,MANUAL,10-06-2021,4.2
Hyundaii20SPORTZ1.2,278199,46859,2012,Third Owner,Petrol,MANUAL,Expired,4.1
Hyundaii20SPORTZ1.4,306399,47489,2013,First Owner,Diesel,MANUAL,01-01-2021,4.4
HondaCitySMT,258699,107215,2011,First Owner,Petrol,MANUAL,14-09-2021,4.4
MarutiSwiftDzireVXI1.2BS,315899,137406,2011,First Owner,Petrol,MANUAL,26-05-2021,3.4
MarutiEeco5STRCNGWITHAC,322722,49286,2018,First Owner,Petrol + CNG,MANUAL,01-09-2021,4.6
MarutiWagonR1.0LXI,316000,66711,2012,Second Owner,Petrol + CNG,MANUAL,10-09-2020,4.2
MarutiCelerioVXI,340706,22743,2015,Second Owner,Petrol,AUTOMATIC,20-02-2021,4.6
VolkswagenVentoHIGHLINEPETROL,266599,75120,2010,Second Owner,Petrol,AUTOMATIC,13-01-2021,4
MarutiSwiftZXI+BS,579399,48242,2018,First Owner,Petrol + CNG,DL4C,Third_party,4.6
MarutiWagonR1.0,414399,28315,2017,First Owner,Petrol,MANUAL,29-09-2021,4.7
MarutiVitaraBrezzaZDI,924799,11025,2018,First Owner,Diesel,AUTOMATIC,09-01-2022,3.9
MarutiAltoK10,172940,103426,2010,First Owner,Petrol + CNG,MANUAL,30-12-2019,4.2
HyundaiVernaFLUIDIC1.6SXVTVT,561399,15755,2013,First Owner,Petrol,MANUAL,20-02-2021,4.7
NissanTerranoXL110,420199,81199,2014,First Owner,Diesel,MANUAL,26-06-2021,4.6
MarutiRitz,270299,63754,2010,First Owner,Petrol,MANUAL,02-11-2021,3.7
HyundaiElitei201.4CRDIASTA,603899,81474,2016,Second Owner,Diesel,MANUAL,17-01-2021,4.8
SkodaRapid1.5TDIAT,557699,60229,2015,First Owner,Diesel,AUTOMATIC,20-12-2021,4.3
MarutiCelerioVXI,527799,3969,2019,Second Owner,Petrol + CNG,MANUAL,15-09-2021,4.8
MahindraXUV500W8,417599,157462,2012,First Owner,Diesel,MANUAL,30-08-2021,4
MarutiWagonR1.0,342099,60223,2012,First Owner,Petrol,MANUAL,29-07-2021,4
MarutiSwiftDzireVDIBS,392199,98400,2014,First Owner,Diesel,MANUAL,29-09-2021,4.3
HyundaiGrandi10MAGNA1.2KAPPA,410399,16182,2017,First Owner,Petrol,MANUAL,31-12-2021,4.6
ToyotaEtios,254299,92903,2011,First Owner,Petrol + CNG,MANUAL,08-04-2021,4.1
HyundaiVernaFLUIDIC1.6SX,539899,75428,2013,First Owner,Petrol,MANUAL,21-08-2021,3.2
MarutiSwiftDzireVDIBS,322299,63868,2012,First Owner,Diesel,MANUAL,08-03-2021,4.9
HondaCityVMT,327799,144078,2011,First Owner,Petrol,MANUAL,08-09-2021,4.3
MarutiWagonR1.0,333199,91411,2014,First Owner,Petrol,MANUAL,11-07-2021,4
HondaCityVMT,409599,53106,2012,First Owner,Petrol,MANUAL,06-02-2021,4.5
MarutiSwift,535565,49748,2015,Second Owner,Petrol,MANUAL,Expired,4.3
HyundaiVernaFLUIDIC1.4CRDI,459599,68473,2014,Second Owner,Diesel,MANUAL,22-05-2021,4.3
MarutiErtigaVDI,455899,85164,2014,First Owner,Diesel,MANUAL,14-01-2021,4.5
TataTiagoXT1.2,417499,25131,2018,First Owner,Petrol,MANUAL,03-06-2021,4.9
MarutiRitz,218099,99338,2011,First Owner,Diesel,MANUAL,24-01-2021,4
MarutiSwiftDzire,524499,53702,2013,Second Owner,Diesel,MANUAL,30-05-2021,4.1
MahindraXUV500,843199,121782,2015,First Owner,Diesel,MANUAL,08-09-2021,4
HyundaiSantroXing,234799,24345,2010,First Owner,Petrol,MANUAL,15-11-2021,4.4
MarutiAltoK10,289299,10490,2015,First Owner,Petrol,MANUAL,09-10-2021,4.9
Hyundaii20SPORTZ1.2,218899,109919,2011,Second Owner,Petrol,MANUAL,Expired,4.1
MarutiSwift,314099,129639,2012,First Owner,Diesel,MANUAL,11-12-2020,4.5
MarutiVitaraBrezza,876399,18175,2019,First Owner,Diesel,MANUAL,29-12-2022,4.9
HyundaiGrandi10SPORTZO,598875,15609,2017,First Owner,Petrol,MANUAL,28-05-2021,4.5
Hyundaii10SPORTZ1.2,336326,33686,2011,Third Owner,Petrol,MANUAL,14-06-2021,4.2
Hyundaii10MAGNA,181299,58101,2009,First Owner,Petrol,MANUAL,29-07-2021,4.3
RenaultKwid1.0RXT,292199,20346,2017,First Owner,Petrol,MANUAL,Zero_Dep,4.7
MahindraXUV500W11,1603499,16286,2018,First Owner,Diesel,MH03,Zero_Dep,4.7
MarutiSwift,572865,60963,2014,First Owner,Petrol,MANUAL,01-07-2021,4.5
MarutiVitaraBrezza,670599,37767,2016,First Owner,Diesel,MANUAL,10-05-2021,4.9
Hyundaii10MAGNA1.2,228199,93885,2011,First Owner,Petrol,MANUAL,Expired,4.2
MarutiAlto800,283699,18966,2015,Second Owner,Petrol,MANUAL,27-03-2021,4.5
MarutiBalenoALPHA1.2,522080,85118,2016,Third Owner,Petrol,MANUAL,05-05-2021,4.5
MarutiSwift,606799,5419,2019,First Owner,Petrol,MANUAL,27-07-2022,4.8
FiatGrandPuntoACTIVE,98799,109887,2010,Second Owner,Petrol,MANUAL,Expired,3.6
MarutiWagonR1.0LXI,248199,164707,2012,First Owner,Petrol + CNG,MANUAL,06-05-2021,3.9
MarutiErtigaVXI,550399,148319,2015,First Owner,Petrol + CNG,MANUAL,21-09-2021,4
RenaultKwid,247499,52417,2016,Second Owner,Petrol,MANUAL,10-07-2021,4.5
HyundaiGrandi10SPORTZ1.2KAPPA,405899,42054,2013,First Owner,Petrol,MANUAL,28-12-2021,4.7
HyundaiEonERA,187499,58799,2012,First Owner,Petrol,MANUAL,31-05-2021,4.2
HyundaiNewElantraS1.6,570399,81971,2013,First Owner,Diesel,MANUAL,01-02-2021,4.4
MarutiAltoK10,219299,52660,2014,Second Owner,Petrol,MANUAL,27-09-2021,4.3
HyundaiEonMAGNA,244899,28625,2016,First Owner,Petrol,MANUAL,20-02-2021,4.4
HyundaiElitei20ASTA1.4,632999,37296,2015,First Owner,Diesel,MANUAL,18-03-2021,4.5
Hyundaii10MAGNA1.2,193399,181036,2011,First Owner,Petrol,MANUAL,24-04-2021,4.2
MahindraXUV500W8,489835,95203,2012,Second Owner,Diesel,MANUAL,Insurance Expired,4.3
MarutiBalenoDELTA1.2,603699,12735,2019,First Owner,Petrol,MANUAL,29-09-2022,5
RenaultKwidRXT1.0EASY-R,402499,2937,2017,First Owner,Petrol,KA04,Zero_Dep,4.8
NissanSunnyXV,407080,49363,2014,First Owner,Petrol,MANUAL,03-01-2022,4.3
Hyundaii10ASTA1.2ATKAPPA2WITH,266399,177197,2011,First Owner,Petrol,AUTOMATIC,04-07-2021,4.1
MarutiRitz,204999,104556,2012,First Owner,Diesel,MANUAL,Expired,4.3
MarutiAltoK10,286799,17944,2016,First Owner,Petrol,MANUAL,14-01-2023,4.6
MarutiWagonR1.0,318899,57827,2015,First Owner,Petrol,MANUAL,16-04-2021,4.4
FordEcosport1.5TDCITITANIUM,772799,52212,2017,First Owner,Diesel,HR51,Zero_Dep,4.8
HyundaiElitei20SPORTZ(O),554799,58001,2015,Second Owner,Diesel,MANUAL,10-04-2021,4.8
MarutiBalenoZETA1.2,551399,26026,2016,First Owner,Petrol,MANUAL,31-01-2021,4.5
MarutiSX4,170399,139476,2011,First Owner,Diesel,MANUAL,20-06-2021,4.2
NissanTerranoXLPLUS85PS,710899,31536,2016,First Owner,Diesel,MANUAL,15-03-2021,4.8
ToyotaCorollaAltisD4D,362899,105865,2012,First Owner,Diesel,MANUAL,19-07-2021,4.4
ToyotaInnova2.5GX8STRBS,845699,99985,2014,First Owner,Diesel,MANUAL,30-10-2021,4.2
HondaAmaze1.5VXMTI,299500,136754,2013,First Owner,Diesel,MANUAL,04-06-2021,4.1
RenaultKwidRXT,378899,19900,2019,First Owner,Petrol,MANUAL,07-06-2021,4.8
MarutiVitaraBrezzaZDI,909899,28478,2017,First Owner,Diesel,MANUAL,08-09-2021,4.8
MarutiSwift,396599,86567,2015,First Owner,Diesel,MANUAL,19-03-2021,4.3
MarutiAStar,178399,74743,2011,First Owner,Petrol,MANUAL,19-05-2021,4
MahindraXUV500W8,700699,119930,2015,First Owner,Diesel,MANUAL,21-03-2020,4.1
HyundaiGrandi10MAGNA1.2KAPPA,409599,28407,2017,First Owner,Petrol,MANUAL,30-08-2021,4.6
MarutiSwift,542699,73784,2017,Second Owner,Diesel,MANUAL,Expired,4.3
SkodaRapid1.5ACTIVETDI,462299,117453,2016,First Owner,Diesel,GJ05,Zero_Dep,4.3
MarutiAltoK10,219599,70580,2012,First Owner,Petrol,MANUAL,14-02-2021,4.1
MarutiCiazALPHA1.5ATVTVT,1044499,22454,2018,First Owner,Petrol,HR26,Comprehensive,4.9
HyundaiVernaFLUIDIC1.6CRDISX,619899,83440,2015,First Owner,Diesel,MANUAL,24-08-2021,4.3
HondaCityVMT,898699,7349,2018,First Owner,Petrol,MANUAL,29-08-2021,4.9
MarutiVitaraBrezzaZDIPLUSDUAL,672342,152025,2016,First Owner,Diesel,MANUAL,Expired,4.3
TataIndicaVistaVX,172999,48433,2011,First Owner,Diesel,MANUAL,Comp,4.4
HondaCityVXMT,730299,64943,2015,First Owner,Petrol + CNG,MANUAL,08-12-2021,4.3
MarutiVitaraBrezzaZDI,822899,35381,2017,First Owner,Diesel,MANUAL,03-02-2022,4.3
MarutiAltoK10VXI,316199,31702,2016,First Owner,Petrol,DL5C,Comp,4.6
MarutiSwiftDzireVDIBS,529199,87125,2014,Second Owner,Diesel,MANUAL,04-12-2021,4.2
MarutiAltoK10,316299,28902,2018,First Owner,Petrol,MANUAL,06-03-2021,4.4
MarutiSwiftDzireVDIBS,311199,82065,2013,First Owner,Diesel,MANUAL,30-04-2021,4.2
VolkswagenVentoHIGHLINE,367099,27821,2013,First Owner,Diesel,MANUAL,Expired,4.3
HondaCitySMT,293776,89227,2011,Second Owner,Petrol,MANUAL,29-11-2021,4.3
MarutiSwift,459199,143871,2014,First Owner,Diesel,MANUAL,09-10-2021,4.6
MarutiAlto800,278599,31490,2014,First Owner,Petrol,MANUAL,31-07-2021,4.7
HyundaiElitei20ASTA,588299,37486,2015,First Owner,Petrol,MANUAL,27-02-2021,4.6
MarutiWagonR1.0,243999,38140,2011,First Owner,Petrol,MANUAL,27-08-2021,4
MarutiWagonR1.0,266999,22264,2012,First Owner,Petrol,MANUAL,18-11-2020,4.6
Hyundaii20MAGNAO,343699,59210,2011,First Owner,Petrol,MANUAL,06-12-2021,4.4
HyundaiVernaFLUIDIC1.4,399899,47365,2012,First Owner,Diesel,MANUAL,03-06-2021,4.4
ToyotaCorollaAltisD4D,764599,85321,2015,Second Owner,Diesel,MANUAL,17-04-2021,4.5
SkodaRapid1.6TDIMTAMBITION,294699,206123,2013,First Owner,Diesel,MANUAL,Expired,4
MarutiSwiftDzireVDIBS,299699,84008,2010,Second Owner,Diesel,MANUAL,03-06-2021,4.2
MarutiSwiftVXILIMITED,511399,27809,2017,First Owner,Petrol,MANUAL,Zero_Dep,4.6
Hyundaii10ERA1.1,197299,61850,2012,First Owner,Petrol,MANUAL,20-11-2021,4.3
TataIndicaVistaVX,181500,71644,2012,Third Owner,Diesel,MANUAL,01-05-2021,3.9
TataNanoXT,91699,50007,2014,First Owner,Petrol,MANUAL,22-02-2021,4.5
HyundaiXcentSX1.1CRDI,342599,64289,2014,First Owner,Diesel,MANUAL,20-05-2021,4.4
MarutiSwiftDzire,531399,52373,2012,First Owner,Diesel,MANUAL,30-09-2021,4.1
MarutiSwift,208243,55257,2010,Second Owner,Petrol,MANUAL,10-08-2021,3.9
MarutiVitaraBrezza,592899,61003,2016,Second Owner,Diesel,MANUAL,13-04-2021,4.6
HyundaiVernaFLUIDIC1.6SX,392099,106211,2013,First Owner,Petrol,MANUAL,16-02-2021,4.3
ToyotaFortuner3.0MT,1057482,138612,2012,Second Owner,Diesel,MANUAL,16-09-2021,4.4
ToyotaFortuner3.0AT,1409199,99050,2014,Second Owner,Diesel,AUTOMATIC,08-06-2021,4.5
MarutiWagonR1.0,373399,15192,2018,First Owner,Petrol,MANUAL,28-12-2021,4.8
MarutiSwift,363799,85199,2014,First Owner,Diesel,MANUAL,12-02-2021,4.4
VolkswagenVentoHIGHLINE,424399,116410,2013,First Owner,Diesel,MANUAL,14-01-2022,4.2
MarutiAlto800,259699,70424,2013,Second Owner,Petrol,MANUAL,02-09-2021,4.1
MarutiAltoK10,159299,39038,2012,Second Owner,Petrol,MANUAL,15-11-2021,4.3
MarutiAStar,199499,61576,2009,Second Owner,Petrol,MANUAL,06-09-2021,3.7
Hyundaii20ASTA1.4,413326,28588,2012,Second Owner,Diesel,MANUAL,Expired,4.4
VolkswagenVentoTRENDLINE,261299,85190,2011,First Owner,Petrol,MANUAL,22-06-2021,4.1
VolkswagenPoloCOMFORTLINE1.2L,365299,56244,2013,Third Owner,Diesel,MANUAL,Expired,3.9
HondaAmaze1.5SXMTI,408099,54624,2014,First Owner,Diesel,MANUAL,Expired,4.3
MarutiRitz,234399,100995,2012,First Owner,Diesel,MANUAL,07-05-2021,4.4
Hyundaii10SPORTZ1.1,322699,44774,2014,First Owner,Petrol,MANUAL,Expired,4.2
HondaBrio1.2SMTI,253199,70054,2014,Second Owner,Petrol,MANUAL,09-10-2021,4.3
MarutiSwift,356899,39124,2013,First Owner,Diesel,MANUAL,16-02-2021,4.3
TataNEXONXMA,762799,8972,2019,First Owner,Petrol,GJ01,Expired,4.9
MarutiEeco5STRWITHAC,438399,17082,2020,First Owner,Petrol,MANUAL,03-03-2023,4.6
HyundaiEonERA,300699,12238,2017,Second Owner,Petrol,MANUAL,Expired,4.4
HondaWR-V1.2i-VTECVX,653099,37486,2017,First Owner,Petrol,MANUAL,29-03-2021,4.7
MarutiAltoK10VXI,302663,35770,2015,First Owner,Petrol,DL9C,Comp,4.4
VolkswagenPoloGT,952999,13259,2018,First Owner,Petrol,MANUAL,30-01-2021,4.9
MarutiAlto800,339904,17644,2019,First Owner,Petrol,MANUAL,14-01-2022,4.9
HondaBrio1.2SMTI,285199,71493,2012,First Owner,Petrol,MANUAL,07-01-2021,4.3
Hyundaii10,113799,67213,2008,First Owner,Petrol,MANUAL,22-01-2021,4
Hyundaii20SPORTZ1.2,452199,81608,2014,First Owner,Petrol,MANUAL,25-02-2021,4.1
MarutiBalenoALPHA1.2,648299,19619,2017,Second Owner,Petrol,MANUAL,30-08-2021,4.7
MarutiSwiftVDI,544999,63435,2015,First Owner,Diesel,MANUAL,19-04-2021,4.6
MarutiAltoK10,256999,59253,2012,First Owner,Petrol,MANUAL,22-07-2021,4.1
HyundaiVernaFLUIDIC1.6SX,403399,68242,2013,Third Owner,Petrol,MANUAL,29-08-2021,4.3
TataTiagoXZA1.2,442899,24537,2018,First Owner,Petrol,MH47,Third_party,4.9
MarutiWagonR1.0,228199,70430,2013,Second Owner,Petrol,MANUAL,06-02-2021,4.5
HyundaiElitei20ASTA1.4,499499,43627,2014,First Owner,Diesel,MANUAL,07-12-2020,4.5
HondaAmaze1.5SMTI,437099,50967,2015,First Owner,Diesel,MANUAL,29-08-2021,4.7
MarutiSwift,338436,141954,2012,First Owner,Diesel,MANUAL,22-05-2021,3.9
MahindraScorpioSLEBS,453932,104541,2014,First Owner,Diesel,MANUAL,Insurance Expired,4.2
ToyotaCorollaAltisD4D,331799,168801,2011,First Owner,Diesel,MANUAL,16-10-2021,4.3
FordFigo1.2ZXI,261499,42273,2011,First Owner,Petrol,MANUAL,08-01-2021,3.8
MarutiSwift,432499,56865,2016,Second Owner,Petrol,MANUAL,26-06-2021,4.5
MahindraMARAZZOM87,1032599,23301,2018,First Owner,Diesel,MH02,Comp,4.5
HondaCityVMT,237399,52532,2009,Third Owner,Petrol,MANUAL,Expired,4
Hyundaii20SPORTZ1.2,351099,58219,2012,Second Owner,Petrol,MANUAL,17-12-2021,3.9
HondaAmaze1.2VCVTI,674599,13578,2019,First Owner,Petrol,DL12,Zero_Dep,4.7
HondaCityVMT,279592,63022,2011,Second Owner,Petrol,MANUAL,27-10-2021,4.3
TataTiagoXZA1.2,470799,31232,2018,First Owner,Petrol,MH03,Zero_Dep,4.7
RenaultKwidCLIMBER1.0,445599,32733,2018,First Owner,Petrol,KA05,Comp,4.4
VolkswagenVentoHIGHLINE,384899,34436,2013,Second Owner,Petrol,MANUAL,25-11-2021,4.4
HondaBrio1.2VXMTI,361699,70915,2014,First Owner,Petrol,MANUAL,04-08-2021,4
MarutiSwiftZDI,571899,84237,2018,First Owner,Diesel,AUTOMATIC,02-03-2021,4.5
MarutiWagonR1.0LXI,345799,56771,2016,First Owner,Petrol + CNG,MANUAL,Expired,4.3
MarutiAlto800LXI,309934,34760,2016,Second Owner,Petrol + CNG,MANUAL,13-08-2021,4.5
MarutiWagonR1.0LXI,361899,65990,2016,Second Owner,Petrol + CNG,MANUAL,11-06-2021,4.4
FordEcosport1.5TITANIUMTDCI,369299,132779,2013,First Owner,Diesel,MANUAL,07-11-2020,3.9
MarutiCiazDELTA1.3DDIS,844499,7712,2018,First Owner,Diesel,MANUAL,18-03-2022,4.9
HyundaiGrandi10SPORTZ1.1,425799,70775,2015,First Owner,Diesel,MANUAL,15-07-2021,3.8
MarutiAltoK10,382399,30028,2018,First Owner,Petrol,MANUAL,02-05-2021,4.5
MarutiBalenoDELTA1.2,549299,16906,2016,First Owner,Petrol,MANUAL,09-02-2021,4.8
MarutiCiazVDI+,723499,58511,2017,First Owner,Diesel,MANUAL,07-02-2021,4.8
MahindraXUV500W6,453999,99893,2013,First Owner,Diesel,MANUAL,02-02-2021,4.4
HyundaiGrandi10Magna1.2AT,493965,12681,2018,First Owner,Petrol,AUTOMATIC,14-11-2021,4.8
MarutiZenEstilo,182299,32985,2010,First Owner,Petrol,MANUAL,19-10-2021,4.3
Hyundaii10SPORTZ1.2,305899,59218,2012,First Owner,Petrol,MANUAL,Expired,4.1
ToyotaEtiosLivaD4D,323599,176674,2014,Second Owner,Diesel,MANUAL,17-01-2021,4.4
MarutiCelerioZXI,352399,37296,2014,First Owner,Petrol,MANUAL,05-09-2021,4.6
Hyundaii20ASTA1.4,336299,86415,2012,First Owner,Diesel,MANUAL,06-07-2021,4.2
MarutiSwift,391599,65847,2015,First Owner,Petrol,MANUAL,Expired,4.3
VolkswagenPoloHIGHLINE1.5L,496799,66126,2015,First Owner,Diesel,MANUAL,21-06-2021,4.2
MarutiAlto,175999,34429,2011,First Owner,Petrol,MANUAL,22-10-2021,4.2
MarutiAltoK10,330999,22610,2014,First Owner,Petrol,MANUAL,15-01-2021,4.9
MarutiVitaraBrezzaZDI,790899,22620,2018,First Owner,Diesel,AUTOMATIC,31-07-2021,4.9
MarutiSwiftDzireVDI,561899,59916,2015,First Owner,Diesel,KA05,Comp,4.3
VolkswagenPoloTrendline1.0L,639999,2012,2020,First Owner,Petrol,KA04,Zero_Dep,4.9
HyundaiNEWSANTRO1.1MAGNACNG,486580,27743,2018,First Owner,Petrol + CNG,TS08,Zero_Dep,4.1
MahindraXUV500W6,575599,141528,2014,Second Owner,Diesel,MANUAL,Expired,4
MarutiSwiftLXI,149899,48448,2007,Second Owner,Petrol,MANUAL,16-01-2021,4.1
HyundaiGrandi10SPORTZ1.2KAPPA,327699,53642,2013,First Owner,Petrol,MANUAL,Expired,4.3
SkodaSuperbELEGANCE1.8TSI,351799,76434,2012,Second Owner,Petrol,MANUAL,Expired,3.9
HondaCityVMT,720399,38614,2015,First Owner,Petrol,MANUAL,04-07-2021,4.6
VolkswagenPoloTrendline1.0L,620999,1889,2018,First Owner,Petrol,KA01,Third_party,4.9
MarutiSwiftVDI,451799,119742,2015,Second Owner,Diesel,MANUAL,30-03-2021,4.3
Hyundaii10MAGNA1.2,281599,28790,2010,First Owner,Petrol,MANUAL,05-05-2021,4.2
HyundaiEonMAGNA,249899,25276,2013,Second Owner,Petrol,MANUAL,Expired,3.9
MarutiAltoK10,292199,18998,2016,Second Owner,Petrol,MANUAL,26-02-2021,4.5
MahindraTUV300,762399,32394,2017,First Owner,Diesel,MANUAL,19-02-2021,4.5
HyundaiGrandi10MAGNA1.2KAPPA,377899,91814,2015,First Owner,Petrol,MANUAL,05-01-2021,4.3
MarutiEeco5STRWITHAC,388799,111610,2018,First Owner,Petrol + CNG,MANUAL,24-09-2021,4.1
MarutiWagonR1.0,317299,115055,2013,Second Owner,Petrol,MANUAL,10-10-2021,4.2
MarutiEeco7,274500,28559,2013,First Owner,Petrol,MANUAL,Insurance Expired,4.2
MarutiWagonR1.0,338599,59887,2013,First Owner,Petrol,MANUAL,18-11-2020,4.4
ToyotaEtiosGD,328799,82778,2013,First Owner,Diesel,MANUAL,08-05-2021,4.4
MarutiSwift,318299,136700,2012,First Owner,Diesel,MANUAL,15-01-2021,4.2
HondaBR-V1.5i-VTEC,710799,21706,2017,First Owner,Petrol,MANUAL,04-12-2020,4.4
MarutiAlto800LXI,358399,81291,2017,First Owner,Petrol + CNG,MANUAL,26-07-2021,4.7
MarutiSwiftDzire,492799,66761,2012,Second Owner,Diesel,MANUAL,25-10-2021,4.2
MarutiSwiftDzire,342299,56620,2013,First Owner,Diesel,MANUAL,06-01-2022,4.4
MarutiDzire,655442,9562,2017,Second Owner,Petrol,MANUAL,20-11-2021,4.9
HyundaiGrandi10SPORTS1.2,454799,46242,2016,First Owner,Petrol,MANUAL,03-02-2022,4.7
RenaultKwid,275399,8656,2017,First Owner,Petrol,MANUAL,Expired,4.9
RenaultKwidRXT,425699,7343,2019,First Owner,Petrol,MANUAL,23-10-2021,4.9
Hyundaii10MAGNA1.2,279399,63995,2012,First Owner,Petrol,MANUAL,21-12-2021,4
Hyundaii20SPORTZ1.2,341199,47294,2013,Second Owner,Petrol,MANUAL,18-04-2021,4.3
Hyundaii20MAGNA1.2,179499,78770,2009,First Owner,Petrol,MANUAL,08-08-2021,4.1
MarutiCiazZDISHVS,577399,62539,2016,First Owner,Diesel,DL3C,Zero_Dep,4.6
Hyundaii10SPORTZ1.2AT,283599,47790,2012,Third Owner,Petrol,AUTOMATIC,Expired,4.3
MarutiAlto,170599,32234,2012,First Owner,Petrol,MANUAL,13-03-2021,4.3
HyundaiGrandi10SPORTZ(O)1.2AT,463899,27147,2017,Second Owner,Petrol,GJ27,,4.2
MarutiAlto800,224899,25478,2013,First Owner,Petrol,MANUAL,03-11-2021,4.6
HondaMobilio1.5VI,447399,88157,2014,Second Owner,Petrol,MANUAL,Expired,4.2
ToyotaFortuner3.0MT,814299,83299,2011,Second Owner,Diesel,MANUAL,31-08-2021,4.1
